strategy,direction,sl_pct,tp_pct,max_bars,total_trades,wins,losses,win_rate,profit_factor,total_return_pct,max_drawdown_pct,sharpe,avg_win_pct,avg_loss_pct,coins_used,period
rsi-divergence,long,7,7,48,57,21,36,36.8,0.47,-70.3,55.9,-3.73,2.94,-3.67,1,2y
rsi-divergence,short,7,7,48,3,1,2,33.3,0.82,-0.97,5.2,-5.3,4.34,-2.66,1,3m
rsi-divergence,short,7,7,48,11,4,7,36.4,0.69,-4.5,8.7,-4.45,2.49,-2.07,1,6m
rsi-divergence,short,7,7,48,27,13,14,48.1,0.95,-1.52,14.2,-0.36,2.28,-2.23,1,1y
rsi-divergence,short,7,7,48,58,26,32,44.8,0.95,-4.19,23.6,-0.26,2.84,-2.44,1,2y
rsi-divergence,both,7,7,48,14,4,10,28.6,0.44,-18.82,22.3,-8.25,3.72,-3.37,1,3m
rsi-divergence,both,7,7,48,29,10,19,34.5,0.53,-25.9,28.8,-4.23,2.95,-2.92,1,6m
rsi-divergence,both,7,7,48,58,24,34,41.4,0.71,-24.37,36.1,-1.62,2.45,-2.45,1,1y
rsi-divergence,both,7,7,48,115,47,68,40.9,0.65,-74.49,61.7,-1.48,2.88,-3.09,1,2y
macd-cross,both,7,7,48,48,16,32,33.3,0.6,-31.09,33.2,-2.57,2.89,-2.42,1,3m
macd-cross,both,7,7,48,97,36,61,37.1,0.65,-49.88,46.1,-1.51,2.61,-2.36,1,6m
macd-cross,both,7,7,48,201,81,120,40.3,0.7,-77.48,63.2,-0.87,2.18,-2.12,1,1y
